# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
B1336	OTHER	Door Ajar RR Circuit Open
B1337	OTHER	Door Ajar RR Circuit Short To Battery
B1338	OTHER	Door Ajar RR Circuit Short To Ground
B1339	OTHER	Chime Input Request Circuit Short To Battery
B1340	OTHER	Chime Input Request Circuit Short To Ground
B1341	OTHER	Power Door Unlock Circuit Short To Ground
B1342	OTHER	ECU Is Defective
B1343	OTHER	Heated Backlite Input Circuit Failure
B1344	OTHER	Heated Backlite Input Circuit Open
B1345	OTHER	Heated Backlite Input Circuit Short To Ground
B1346	OTHER	Heated Backlite Input Circuit Short To Battery
B1347	OTHER	Heated Backlite Relay Circuit Failure
B1348	OTHER	Heated Backlite Relay Circuit Open
B1349	OTHER	Heated Backlite Relay Short To Battery
B1350	OTHER	Heated Backlite Relay Short To Ground
B1351	OTHER	Ignition Key-In Circuit Short To Battery
B1352	OTHER	Ignition Key-In Circuit Failure
B1353	OTHER	Ignition Key-In Circuit Open
B1354	OTHER	Ignition Key-In Circuit Short To Ground
B1355	OTHER	Ignition Run Circuit Failure
B1356	OTHER	Ignition Run Circuit Open
B1357	OTHER	Ignition Run Circuit Short To Battery
B1358	OTHER	Ignition Run Circuit Short To Ground
B1359	OTHER	Ignition Run/Acc Circuit Failure
B1360	OTHER	Ignition Run/Acc Circuit Open
B1361	OTHER	Ignition Run/Acc Circuit Short To Battery
B1362	OTHER	Ignition Run/Acc Circuit Short To Ground
B1363	OTHER	Ignition Start Circuit Failure
B1364	OTHER	Ignition Start Circuit Open
B1365	OTHER	Ignition Start Circuit Short To Battery
B1366	OTHER	Ignition Start Circuit Short To Ground
B1367	OTHER	Ignition Tach Circuit Failure
B1368	OTHER	Ignition Tach Circuit Open
B1369	OTHER	Ignition Tach Circuit Short To Battery
B1370	OTHER	Ignition Tach Circuit Short To Ground
B1371	OTHER	Illuminated Entry Relay Circuit Failure
B1372	OTHER	Illuminated Entry Relay Circuit Open
B1373	OTHER	Illuminated Entry Relay Short To Battery
B1374	OTHER	Illuminated Entry Relay Short To Ground
B1375	OTHER	Oil Change Lamp Circuit Open
B1376	OTHER	Oil Change Lamp Circuit Short To Battery
B1377	OTHER	Oil Change Lamp Circuit Failure
B1378	OTHER	Oil Change Lamp Circuit Short To Ground
B1379	OTHER	Oil Change Reset Button Circuit Short To Ground
B1380	OTHER	Oil Change Reset Button Circuit Failure
B1381	OTHER	Oil Change Reset Button Circuit Open
B1382	OTHER	Oil Change Reset Button Circuit Short To Battery
B1383	OTHER	Oil Level Lamp Circuit Short To Battery
B1384	OTHER	Oil Level Lamp Circuit Failure
B1385	OTHER	Oil Level Lamp Circuit Open
B1386	OTHER	Oil Level Lamp Circuit Short To Ground
B1387	OTHER	Oil Temperature Sensor Circuit Open
B1388	OTHER	Oil Temperature Sensor Circuit Short To Battery
B1389	OTHER	Oil Temperature Sensor Circuit Failure
B1390	OTHER	Oil Temperature Sensor Circuit Short To Ground
B1391	OTHER	Oil Level Switch Circuit Failure
B1392	OTHER	Power Door Memory Lock Relay Circuit Failure
B1393	OTHER	Power Door Memory Lock Relay Circuit Open
B1394	OTHER	Power Door Memory Lock Relay Circuit Short To Battery
B1395	OTHER	Power Door Memory Lock Relay Circuit Short To Ground
B1396	OTHER	Power Door Lock Circuit Short To Battery
B1397	OTHER	Power Door Unlock Circuit Short To Battery
B1398	OTHER	Driver Power Window One Touch Window Relay Circuit Failure
B1399	OTHER	Driver Power Window One Touch Window Relay Circuit Open
B1400	OTHER	Driver Power Window One Touch Window Relay Circuit Short To Battery
B1401	OTHER	Driver Power Window One Touch Window Relay Circuit Short To Ground
B1402	OTHER	Driver Power Window Down Switch Circuit Failure
B1403	OTHER	Driver Power Window Up Switch Circuit Failure
B1404	OTHER	Driver Power Window Down Circuit Open
B1405	OTHER	Driver Power Window Down Circuit Short To Battery
B1406	OTHER	Driver Power Window Down Circuit Short To Ground
B1407	OTHER	Driver Power Window Up Circuit Open
B1408	OTHER	Driver Power Window Up Circuit Short To Battery
B1409	OTHER	Driver Power Window Up Circuit Short To Ground
B1410	OTHER	Driver Power Window Motor Circuit Failure
B1411	OTHER	Driver Power Window Motor Circuit Open
B1412	OTHER	Driver Power Window Motor Circuit Short To Battery
B1413	OTHER	Driver Power Window Motor Circuit Short To Ground
B1414	OTHER	Power Window LR Motor Circuit Failure
B1415	OTHER	Power Window LR Motor Circuit Open
B1416	OTHER	Power Window LR Motor Circuit Short To Battery
B1417	OTHER	Power Window LR Motor Circuit Short To Ground
B1418	OTHER	Passenger Power Window Motor Circuit Failure
B1419	OTHER	Passenger Power Window Motor Circuit Open
B1420	OTHER	Passenger Power Window Motor Circuit Short To Battery
B1421	OTHER	Passenger Power Window Motor Circuit Short To Ground
B1422	OTHER	Power Window RR Motor Circuit Failure
B1423	OTHER	Power Window RR Motor Circuit Open
B1424	OTHER	Power Window RR Motor Circuit Short To Battery
B1425	OTHER	Power Window RR Motor Circuit Short To Ground
B1426	OTHER	Lamp Seat Belt Circuit Short To Battery
B1427	OTHER	Lamp Seat Belt Circuit Open
B1428	OTHER	Lamp Seat Belt Circuit Failure
B1429	OTHER	Lamp Seat Belt Circuit Short To Ground
B1430	OTHER	Seat Belt Switch Circuit Short To Ground
B1431	OTHER	Wiper Brake/Run Relay Circuit Failure
B1432	OTHER	Wiper Brake/Run Relay Circuit Short To Battery
B1433	OTHER	Wiper Brake/Run Relay Circuit Short To Ground
B1434	OTHER	Wiper Hi/Low Speed Relay Coil Circuit Failure
B1435	OTHER	Wiper Hi/Low Speed Relay Coil Circuit Open
B1436	OTHER	Wiper Hi/Low Speed Relay Coil Circuit Short To Battery
B1437	OTHER	Wiper Hi/Low Speed Relay Coil Circuit Short To Ground
B1438	OTHER	Wiper Mode Select Switch Circuit Failure
B1439	OTHER	Wiper Mode Select Switch Circuit Open
B1440	OTHER	Wiper Mode Select Switch Circuit Short To Battery
B1441	OTHER	Wiper Mode Select Switch Circuit Short To Ground
B1442	OTHER	Door Handle Switch Circuit Failure
B1443	OTHER	Door Handle Switch Circuit Open
B1444	OTHER	Door Handle Switch Circuit Short To Battery
B1445	OTHER	Door Handle Switch Circuit Short To Ground
B1446	OTHER	Wiper Park Sense Circuit Failure
B1447	OTHER	Wiper Park Sense Circuit Open
B1448	OTHER	Wiper Park Sense Circuit Short To Battery
B1449	OTHER	Wiper Park Sense Circuit Short To Ground
B1450	OTHER	Wiper Wash/Delay Switch Circuit Failure
B1451	OTHER	Wiper Wash/Delay Switch Circuit Open
B1452	OTHER	Wiper Wash/Delay Switch Circuit Short To Battery
B1453	OTHER	Wiper Wash/Delay Switch Circuit Short To Ground
B1454	OTHER	Wiper Washer Fluid Lamp Circuit Failure
B1455	OTHER	Wiper Washer Fluid Lamp Circuit Open
B1456	OTHER	Wiper Washer Fluid Lamp Circuit Short To Battery
B1457	OTHER	Wiper Washer Fluid Lamp Circuit Short To Ground
B1458	OTHER	Wiper Washer Pump Motor Relay Circuit Failure
B1459	OTHER	Wiper Washer Pump Motor Relay Coil Circuit Open
B1460	OTHER	Wiper Washer Pump Motor Relay Coil Circuit Short To Battery
B1461	OTHER	Wiper Washer Pump Motor Relay Coil Circuit Short To Ground
B1462	OTHER	Seat Belt Switch Circuit Failure
B1463	OTHER	Seat Belt Switch Circuit Open
B1464	OTHER	Seat Belt Switch Circuit Short To Battery
B1465	OTHER	Wiper Brake/Run Relay Circuit Open
B1466	OTHER	Wiper Hi/Low Speed Not Switching
B1467	OTHER	Wiper Hi/Low Speed Circuit Motor Short To Battery
B1468	OTHER	Chime Input Request Circuit Failure
B1469	OTHER	Chime Input Request Circuit Open
B1470	OTHER	Lamp Headlamp Input Circuit Failure
B1471	OTHER	Lamp Headlamp Input Circuit Open
B1472	OTHER	Lamp Headlamp Input Circuit Short To Ground
B1473	OTHER	Wiper Low Speed Circuit Motor Failure
B1474	OTHER	Battery Saver Power Relay Circuit Short To Battery
B1475	OTHER	Accessory Delay Relay Contact Short To Battery
B1476	OTHER	Wiper High Speed Circuit Motor Failure
B1477	OTHER	Wiper Hi/Low Circuit Motor Short To Ground
B1478	OTHER	Power Window One Touch Up/Down Activated Simultaneously
B1479	OTHER	Wiper Washer Fluid Level Sensor Circuit Failure
B1480	OTHER	Wiper Washer Fluid Level Sensor Circuit Open
B1481	OTHER	Wiper Washer Fluid Level Sensor Circuit Short To Battery
B1482	OTHER	Wiper Washer Fluid Level Sensor Circuit Short To Ground
B1483	OTHER	Brake Pedal Input Circuit Failure
B1484	OTHER	Brake Pedal Input Open Circuit
B1485	OTHER	Brake Pedal Input Circuit Battery Short
B1486	OTHER	Brake Pedal Input Circuit Ground Short
B1487	OTHER	Door Handle Right Front Circuit Failure
B1488	OTHER	Door Handle Right Front Circuit Open
B1489	OTHER	Door Handle Right Front Short To Battery
B1490	OTHER	Door Handle Right Front Short To Ground
B1491	OTHER	Ignition Cylinder Sensor Circuit Failure
B1492	OTHER	Ignition Cylinder Sensor Open Circuit
B1493	OTHER	Ignition Cylinder Sensor Battery Short
B1494	OTHER	Ignition Cylinder Sensor Ground Short
B1495	OTHER	Decklid Punch-Out Sensor Circuit Failure
B1496	OTHER	Decklid Punch-Out Sensor Open Circuit
B1497	OTHER	Decklid Punch-Out Sensor Battery Short
B1498	OTHER	Decklid Punch-Out Sensor Ground Short
B1499	OTHER	Lamp Turn Signal Left Circuit Failure
B1500	OTHER	Lamp Turn Signal Left Circuit Open
B1501	OTHER	Lamp Turn Signal Left Circuit Short To Battery
B1502	OTHER	Lamp Turn Signal Left Circuit Short To Ground
B1503	OTHER	Lamp Turn Signal Right Circuit Failure
B1504	OTHER	Lamp Turn Signal Right Circuit Open
B1505	OTHER	Lamp Turn Signal Right Circuit Short To Battery
B1506	OTHER	Lamp Turn Signal Right Circuit Short To Ground
B1507	OTHER	Flash To Pass Switch Circuit Failure
B1508	OTHER	Flash To Pass Switch Circuit Open
B1509	OTHER	Flash To Pass Switch Circuit Short To Battery
B1510	OTHER	Flash To Pass Switch Circuit Short To Ground
B1511	OTHER	Driver Door Handle Circuit Failure
B1512	OTHER	Driver Door Handle Circuit Open
B1513	OTHER	Driver Door Handle Circuit Short To Battery
B1514	OTHER	Driver Door Handle Circuit Short To Ground
B1515	OTHER	Seat Driver Occupied Switch Circuit Failure
B1516	OTHER	Seat Driver Occupied Switch Circuit Open
B1517	OTHER	Seat Driver Occupied Switch Circuit Short To Battery
B1518	OTHER	Seat Driver Occupied Switch Circuit Short To Ground
B1519	OTHER	Hood Switch Circuit Failure
B1520	OTHER	Hood Switch Circuit Open
B1521	OTHER	Hood Switch Circuit Short To Battery
B1522	OTHER	Hood Switch Circuit Short To Ground
B1523	OTHER	Keyless Entry Circuit Failure
B1524	OTHER	Keyless Entry Circuit Open
B1525	OTHER	Keyless Entry Circuit Short To Battery
B1526	OTHER	Keyless Entry Circuit Short To Ground
B1527	OTHER	Memory Set Switch Circuit Failure
B1528	OTHER	Memory Set Switch Circuit Open
B1529	OTHER	Memory Set Switch Circuit Short To Battery
B1530	OTHER	Memory Set Switch Circuit Short To Ground
B1531	OTHER	Memory 1 Switch Circuit Failure
B1532	OTHER	Memory 1 Switch Circuit Open
B1533	OTHER	Memory 1 Switch Circuit Short To Battery
B1534	OTHER	Memory 1 Switch Circuit Short To Ground
B1535	OTHER	Memory 2 Switch Circuit Failure
B1536	OTHER	Memory 2 Switch Circuit Open
B1537	OTHER	Memory 2 Switch Circuit Short To Battery
B1538	OTHER	Memory 2 Switch Circuit Short To Ground
B1539	OTHER	Mirror Driver Switch Assembly Circuit Failure
B1540	OTHER	Mirror Driver Switch Assembly Circuit Open
B1541	OTHER	Mirror Driver Switch Assembly Circuit Short To Battery
B1542	OTHER	Mirror Driver Switch Assembly Circuit Short To Ground
B1543	OTHER	Seat Direction Switch Assembly Circuit Failure
B1544	OTHER	Seat Direction Switch Assembly Circuit Open
B1545	OTHER	Seat Direction Switch Assembly Circuit Short To Battery
B1546	OTHER	Seat Direction Switch Assembly Circuit Short To Ground
B1547	OTHER	Power Window Master Circuit Failure
B1548	OTHER	Power Window Master Circuit Open
B1549	OTHER	Power Window Master Circuit Short To Battery
B1550	OTHER	Power Window Master Circuit Short To Ground
B1551	OTHER	Decklid Release Circuit Failure
B1552	OTHER	Decklid Release Circuit Open
B1553	OTHER	Decklid Release Circuit Short To Battery
B1554	OTHER	Decklid Release Circuit Short To Ground
B1555	OTHER	Ignition Run/Start Circuit Failure
B1556	OTHER	Ignition Run/Start Circuit Open
B1557	OTHER	Ignition Run/Start Circuit Short To Battery
B1558	OTHER	Ignition Run/Start Circuit Short To Ground
B1559	OTHER	Door Lock Cylinder Circuit Failure
B1560	OTHER	Door Lock Cylinder Circuit Open
B1561	OTHER	Door Lock Cylinder Circuit Short To Battery
B1562	OTHER	Door Lock Cylinder Circuit Short To Ground
B1563	OTHER	Door Ajar Circuit Failure
B1564	OTHER	Door Ajar Circuit Open
B1565	OTHER	Door Ajar Circuit Short To Battery
B1566	OTHER	Door Ajar Circuit Short To Ground
B1567	OTHER	Lamp Headlamp High-Beam Circuit Failure
B1568	OTHER	Lamp Headlamp High-Beam Circuit Open
B1569	OTHER	Lamp Headlamp High-Beam Circuit Short To Battery
B1570	OTHER	Lamp Headlamp High-Beam Circuit Short To Ground
B1571	OTHER	Door Ajar LR Circuit Failure
B1572	OTHER	Door Ajar LR Circuit Open
B1573	OTHER	Door Ajar LR Circuit Short To Battery
B1574	OTHER	Door Ajar LR Circuit Short To Ground
B1575	OTHER	Lamp Park Input Circuit Failure
B1576	OTHER	Lamp Park Input Circuit Open
B1577	OTHER	Lamp Park Input Circuit Short To Battery
B1578	OTHER	Lamp Park Input Circuit Short To Ground
B1579	OTHER	Dim Panel Increase Input Circuit Failure
B1580	OTHER	Dim Panel Increase Input Circuit Open
B1581	OTHER	Dim Panel Increase Input Circuit Short To Battery
B1582	OTHER	Dim Panel Increase Input Circuit Short To Ground
B1583	OTHER	Dim Panel Decrease Input Circuit Failure
B1584	OTHER	Dim Panel Decrease Input Circuit Open
B1585	OTHER	Dim Panel Decrease Input Circuit Short To Battery
B1586	OTHER	Dim Panel Decrease Input Circuit Short To Ground
B1587	OTHER	Autolamp Delay Increase Circuit Failure
B1588	OTHER	Autolamp Delay Increase Circuit Open
B1589	OTHER	Autolamp Delay Increase Circuit Short To Battery
B1590	OTHER	Autolamp Delay Increase Circuit Short To Ground
B1591	OTHER	Autolamp Delay Decrease Circuit Failure
B1592	OTHER	Autolamp Delay Decrease Circuit Open
B1593	OTHER	Autolamp Delay Decrease Circuit Short To Battery
B1594	OTHER	Autolamp Delay Decrease Circuit Short To Ground
B1595	OTHER	Ignition Switch Illegal Input Code
B1596	OTHER	Service Continuous Codes
B1597	OTHER	Driver's Seat Seatback Autoglide Forward Switch Circuit Short to Ground
B1598	OTHER	Driver's Seat Seatback Autoglide Rearward Switch Circuit Short to Ground
B1599	OTHER	Passenger's Seatback Autoglide Forward Switch Circuit Short to Ground
B1600	OTHER	PATS Ignition Key Transponder Signal Is Not Received
B1601	OTHER	PATS Received Incorrect Key-Code From Ignition Key Transponder
B1602	OTHER	PATS Received Invalid Format Of Key-Code From Ignition Key Transponder
B1603	OTHER	Lamp Anti-Theft Indicator Circuit Failure
B1604	OTHER	Lamp Anti-Theft Indicator Circuit Open
B1605	OTHER	Lamp Anti-Theft Indicator Circuit Short To Battery
B1606	OTHER	Lamp Anti-Theft Indicator Circuit Short To Ground
B1607	OTHER	Illuminated Entry Input Circuit Failure
B1608	OTHER	Illuminated Entry Input Open Circuit
B1609	OTHER	Illuminated Entry Input Short Circuit To Battery
B1610	OTHER	Illuminated Entry Input Short Circuit To Ground
B1611	OTHER	Wiper Rear Mode Select Switch Circuit Failure
B1612	OTHER	Wiper Rear Mode Select Switch Circuit Open
B1613	OTHER	Wiper Rear Mode Select Switch Circuit Short To Battery
B1614	OTHER	Wiper Rear Mode Select Switch Circuit Short To Ground
B1615	OTHER	Wiper Rear Disable Switch Circuit Failure
B1616	OTHER	Wiper Rear Disable Switch Circuit Open
B1617	OTHER	Wiper Rear Disable Switch Circuit Short To Battery
B1618	OTHER	Wiper Rear Disable Switch Circuit Short To Ground
B1619	OTHER	Wiper Rear Low Limit Input Circuit Failure
B1620	OTHER	Wiper Rear Low Limit Input Circuit Open
B1621	OTHER	Wiper Rear Low Limit Input Circuit Short To Battery
B1622	OTHER	Wiper Rear Low Limit Input Circuit Short To Ground
B1623	OTHER	Lamp Keypad Output Circuit Failure
B1624	OTHER	Lamp Keypad Output Open Circuit
B1625	OTHER	Lamp Keypad Output Short Circuit To Battery
B1626	OTHER	Lamp Keypad Output Short Circuit To Ground
B1627	OTHER	PRNDL Reverse Input Circuit Failure
B1628	OTHER	PRNDL Reverse Input Open Circuit
B1629	OTHER	PRNDL Reverse Input Short To Battery
B1630	OTHER	PRNDL Reverse Input Short Circuit To Ground
B1631	OTHER	Mirror Driver Left Circuit Failure
B1632	OTHER	Mirror Driver Left Circuit Open
B1633	OTHER	Mirror Driver Left Circuit Short To Battery
B1634	OTHER	Mirror Driver Left Circuit Short To Ground
B1635	OTHER	Mirror Driver Right Circuit Failure
B1636	OTHER	Mirror Driver Right Circuit Open
B1637	OTHER	Mirror Driver Right Circuit Short To Battery
B1638	OTHER	Mirror Driver Right Short To Ground
B1639	OTHER	Mirror Passenger Left Circuit Failure
B1640	OTHER	Mirror Passenger Left Circuit Open
B1641	OTHER	Mirror Passenger Left Circuit Short To Battery
B1642	OTHER	Mirror Passenger Left Circuit Short To Ground
B1643	OTHER	Mirror Passenger Right Circuit Failure
B1644	OTHER	Mirror Passenger Right Circuit Open
B1645	OTHER	Mirror Passenger Right Circuit Short To Battery
B1646	OTHER	Mirror Passenger Right Circuit Short To Ground
B1647	OTHER	Seat Driver Recline Forward Circuit Failure
B1648	OTHER	Seat Driver Recline Forward Circuit Open
B1649	OTHER	Seat Driver Recline Forward Circuit Short To Battery
B1650	OTHER	Seat Driver Recline Forward Circuit Short To Ground
B1651	OTHER	Seat Driver Recline Backward Circuit Failure
B1652	OTHER	Seat Driver Recline Backward Circuit Open
B1653	OTHER	Seat Driver Recline Backward Circuit Short To Battery
B1654	OTHER	Seat Driver Recline Backward Circuit Short To Ground
B1655	OTHER	Seat Driver Rear Up Circuit Failure
B1656	OTHER	Seat Driver Rear Up Circuit Open
B1657	OTHER	Seat Driver Rear Up Circuit Short To Battery
B1658	OTHER	Seat Driver Rear Up Circuit Short To Ground
B1659	OTHER	Seat Driver Front Up Circuit Failure
B1660	OTHER	Seat Driver Front Up Circuit Open
B1661	OTHER	Seat Driver Front Up Circuit Short To Battery
B1662	OTHER	Seat Driver Front Up Circuit Short To Ground
B1663	OTHER	Seat Driver Front Up/Down Motor Stalled
B1664	OTHER	Seat Driver Rear Up/Down Motor Stalled
B1665	OTHER	Seat Driver Forward/Backward Motor Stalled
B1666	OTHER	Seat Driver Recline Motor Stalled
B1667	OTHER	Mirror Driver Up/Down Motor Stalled
B1668	OTHER	Mirror Driver Right/Left Motor Stalled
B1669	OTHER	Mirror Passenger Up/Down Motor Stalled
B1670	OTHER	Mirror Passenger Right/Left Motor Stalled
B1671	OTHER	Battery Module Voltage Out Of Range
B1672	OTHER	Seat Driver Occupied Input Circuit Failure
B1673	OTHER	Seat Driver Occupied Input Circuit Open
B1674	OTHER	Seat Driver Occupied Input Circuit Short To Battery
